                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.90552,                0.39285,                 1.0502,                0.98516,                0.96435,                0.98506,                0.71711,                 1.0767,                 0.3567,                 1.1246,               0.002674,               0.002674,               0.002674
                     76,                0.89963,                0.38834,                 1.0494,                0.98329,                0.96623,                0.98511,                0.71745,                 1.0766,                0.35668,                 1.1247,               0.002575,               0.002575,               0.002575
                     77,                 0.8925,                  0.388,                 1.0461,                0.98329,                0.96624,                0.98485,                0.71748,                 1.0764,                0.35566,                 1.1246,               0.002476,               0.002476,               0.002476
                     78,                0.89431,                0.38559,                 1.0452,                 0.9833,                0.96653,                0.98487,                0.71787,                 1.0764,                0.35523,                 1.1247,               0.002377,               0.002377,               0.002377
                     79,                0.89148,                 0.3827,                 1.0429,                0.98424,                0.96648,                0.98486,                0.71802,                 1.0762,                  0.355,                 1.1245,               0.002278,               0.002278,               0.002278
                     80,                0.88407,                0.38149,                 1.0385,                0.98422,                0.96555,                0.98481,                0.71781,                 1.0761,                0.35425,                 1.1245,               0.002179,               0.002179,               0.002179
                     81,                0.87816,                0.37676,                 1.0364,                0.98444,                0.96529,                0.98494,                0.71758,                 1.0758,                0.35461,                 1.1242,                0.00208,                0.00208,                0.00208
                     82,                0.88191,                 0.3784,                 1.0342,                0.98376,                0.96601,                0.98427,                0.71759,                 1.0755,                 0.3539,                 1.1241,               0.001981,               0.001981,               0.001981
                     83,                0.87288,                0.37435,                 1.0337,                0.98376,                0.96589,                0.98419,                0.71782,                 1.0757,                0.35407,                 1.1241,               0.001882,               0.001882,               0.001882
                     84,                 0.8689,                0.37287,                 1.0338,                0.98421,                0.96482,                0.98425,                0.71748,                 1.0759,                0.35354,                 1.1245,               0.001783,               0.001783,               0.001783
                     85,                 0.8662,                0.36857,                 1.0301,                0.98374,                0.96435,                0.98438,                0.71733,                  1.076,                0.35388,                 1.1248,               0.001684,               0.001684,               0.001684
                     86,                0.86354,                0.36882,                 1.0286,                0.98375,                0.96534,                0.98442,                0.71754,                 1.0761,                0.35361,                 1.1251,               0.001585,               0.001585,               0.001585
                     87,                0.86259,                0.36604,                 1.0271,                0.98175,                0.96623,                0.98443,                0.71692,                  1.076,                0.35388,                 1.1247,               0.001486,               0.001486,               0.001486
                     88,                0.85618,                0.36452,                 1.0246,                0.98191,                0.96623,                0.98462,                0.71674,                 1.0759,                0.35388,                 1.1247,               0.001387,               0.001387,               0.001387
